Policy_document_id,Title,"Translated title","Document type","Source title","Source country","Source state","Source type","Source subtype",Published_on,"Policy citations (excl. same source)","Policy citations (inc. same source)","Document URL","Overton URL","Source specific tags","Your tags","Top topics",Languages,"Policy authors","Related to SDGs","Document theme"
uncepal-b2f21ace00a89574b6f550910fd8f2d5,"Dinámica y configuración macroeconómica de la Ciudad de México, 1960-2013: estrategia económico-espacial para la planeación multidimensional de la Ciudad de México, 2020-2040","Dynamics and macroeconomic configuration of Mexico City, 1960-2013: economic-spatial strategy for multidimensional planning of Mexico City, 2020-2040",Publication,"United Nations CEPAL",IGO,,igo,,2020-08-26,0,2,https://hdl.handle.net/11362/45940,https://app.overton.io/document.php?policy_document_id=uncepal-b2f21ace00a89574b6f550910fd8f2d5,"Any UNCEPAL collection|Sede Subregional de la CEPAL en México (Estudios e Investigaciones)",,"Mexico City|Mexico|City",spa,"Garza, Gustavo",
ipeabr-436ae014f8a08ba71972b5c71a6cafa5,"DP 0189 - Quantifying Urban Centrality: A Simple Index Proposal And International Comparison",,Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2015-01-30,0,0,http://www.ipea.gov.br/portal/index.php?option=com_content&view=article&id=24433,https://app.overton.io/document.php?policy_document_id=ipeabr-436ae014f8a08ba71972b5c71a6cafa5,,,"Gini coefficient|Hypothesis|Spatial analysis",eng,"Rafael Henrique Moraes Pereira, Vanessa Nadalin, Leonardo Monasterio e Pedro Henrique Melo Albuquerque",
worldbank-59013663f0e6ab9f05b026b34ca17e40,"Financing Transit-Oriented Development with Land Values : Adapting Land Value Capture in Developing Countries",,Publication,"World Bank",IGO,,igo,"development bank",2015-01-15,61,82,https://openknowledge.worldbank.org/handle/10986/21286,https://app.overton.io/document.php?policy_document_id=worldbank-59013663f0e6ab9f05b026b34ca17e40,,,"Public transport|City|Rapid transit",eng,"Suzuki, Hiroaki|Murakami, Jin|Hong, Yu-Hung|Tamayose, Beth","SDG 11: Sustainable Cities and Communities"
worldbank-27b9154360b0907e3fd8d08a0656c9ff,"Financing Transit-Oriented Development with Land Values : Adapting Land Value Capture in Developing Countries",,Publication,"World Bank",IGO,,igo,"development bank",2015-01-15,11,21,https://hdl.handle.net/10986/21286,https://app.overton.io/document.php?policy_document_id=worldbank-27b9154360b0907e3fd8d08a0656c9ff,,,"MTR Corporation|Public transport|Bus rapid transit",eng,"Suzuki, Hiroaki|Murakami, Jin|Hong, Yu-Hung|Tamayose, Beth",
worldbank-27b9154360b0907e3fd8d08a0656c9ff,"Financing Transit-Oriented Development with Land Values : Adapting Land Value Capture in Developing Countries",,Publication,"World Bank",IGO,,igo,"development bank",2015-01-15,11,21,https://hdl.handle.net/10986/21286,https://app.overton.io/document.php?policy_document_id=worldbank-27b9154360b0907e3fd8d08a0656c9ff,,,"Transit-oriented development|Government|Urban planning",chi,"Suzuki, Hiroaki|Murakami, Jin|Hong, Yu-Hung|Tamayose, Beth",
ipeabr-6f8537bcf6c645817565e12feb3a6a33,"Quantifying urban centrality : a simple index proposal and international comparison",,Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2015-01-01,0,0,https://www.ipea.gov.br/portal/publicacao-item?id=2cc01f45-8b64-4f1c-95cb-5d729f16f607,https://app.overton.io/document.php?policy_document_id=ipeabr-6f8537bcf6c645817565e12feb3a6a33,,,"Gini coefficient|Hypothesis|Spatial analysis",eng,,
ceps-e2077b3dbb7f999b63d0dde79d46b52b,"The Role of Environmental and Land Transaction Regulations on Agricultural Land Price: The example of Brittany",,Publication,CEPS,Belgium,,"think tank",,2013-06-17,2,2,https://www.ceps.eu/publications/role-environmental-and-land-transaction-regulations-agricultural-land-price-example,https://app.overton.io/document.php?policy_document_id=ceps-e2077b3dbb7f999b63d0dde79d46b52b,,,"Market (economics)|Autoregressive model|Agriculture",eng,"Laure Latruffe|Jean Joseph Minvie|Julien Salanié",
ipeabr-a53476b6ecadc4ad796ad19875024e67,"TD 1675a - Quantifying Urban Centrality: A Simple Index Proposal and International Comparison",,Publication,"Instituto de Pesquisa Econômica Aplicada",Brazil,,"think tank",,2012-03-15,0,0,http://www.ipea.gov.br/portal/index.php?option=com_content&view=article&id=17837,https://app.overton.io/document.php?policy_document_id=ipeabr-a53476b6ecadc4ad796ad19875024e67,,,"Gini coefficient|Spatial analysis|Metropolitan area",eng,"Rafael Henrique Moraes Pereira, Vanessa Nadalin, Leonardo Monasterio e Pedro Henrique Melo Albuquerque",
kdi-ece527c6d5109f7d3978e0d83badb3b1,"Studies on Public Expropriation",,Publication,"Korea Development Institute","South Korea",,"think tank",,2011-12-31,0,0,https://www.kdi.re.kr/kdi_eng/pub/12249/Studies_on_Public_Expropriation,https://app.overton.io/document.php?policy_document_id=kdi-ece527c6d5109f7d3978e0d83badb3b1,,,"Research|Information|Political party",kor,"Hojun Lee|KIM HYUNGTAI",
kdi-7456f208092259b5ae3032d44d7b4893,"KOR Studies on Public Expropriation",,Publication,"Korea Development Institute","South Korea",,"think tank",,2011-12-31,0,0,https://www.kdi.re.kr/eng/research/reportView?pub_no=12249,https://app.overton.io/document.php?policy_document_id=kdi-7456f208092259b5ae3032d44d7b4893,,,"Research|Information|Political party",kor,"Hojun Lee|KIM, HYUNGTAI",
